Clamator coromandus	Chestnut-winged Cuckoo
Alauda arvensis/gulgula	Eurasian/Oriental Skylark
Ardenna carneipes	Flesh-footed Shearwater
Ichthyophaga ichthyaetus	Gray-headed Fish-Eagle
Otus lettia	Collared Scops-Owl
Aythya nyroca	Ferruginous Duck
Aegithalos iouschistos	Black-browed Tit
Anatidae sp.	waterfowl sp.
Cinclidium leucurum	White-tailed Robin
Xenus cinereus	Terek Sandpiper
Horornis flavolivaceus	Aberrant Bush-Warbler
Catreus wallichii	Cheer Pheasant
Accipiter butleri	Nicobar Sparrowhawk
Merops apiaster	European Bee-eater
Psittacula eupatria	Alexandrine Parakeet
Hydroprogne caspia	Caspian Tern
Elachura formosa	Spotted Elachura
Corvus macrorhynchos	Large-billed Crow
Dryocopus javensis	White-bellied Woodpecker
Aviceda leuphotes	Black Baza
Psilopogon malabaricus/haemacephalus	Malabar/Coppersmith Barbet
Anthus trivialis	Tree Pipit
Ardea alba	Great Egret
Acridotheres grandis	Great Myna
Rhyticeros undulatus	Wreathed Hornbill
Tarsiger chrysaeus	Golden Bush-Robin
Dendrocitta formosae	Gray Treepie
Carpodacus sp.	rosefinch sp.
Rynchops albicollis	Indian Skimmer
Locustella certhiola	Pallas's Grasshopper-Warbler
Dicrurus annectans	Crow-billed Drongo
Nisaetus cirrhatus	Crested Hawk-Eagle
Mycteria leucocephala	Painted Stork
Glareola sp.	pratincole sp.
Ichthyaetus ichthyaetus	Pallas's Gull
Zosterops palpebrosus	Oriental White-eye
Yuhina flavicollis	Whiskered Yuhina
Certhia himalayana	Bar-tailed Treecreeper
Lanius isabellinus	Isabelline Shrike
Dendrocitta leucogastra	White-bellied Treepie
Scolopacidae sp. (large shorebird sp.)	large shorebird sp.
Ploceus philippinus	Baya Weaver
Pyrrhula aurantiaca	Orange Bullfinch
Hydrobatidae sp.	storm-petrel sp.
Treron apicauda	Pin-tailed Pigeon
Vanellus cinereus	Gray-headed Lapwing
Zapornia pusilla	Baillon's Crake
Chloropsis cochinchinensis	Blue-winged Leafbird
Sitta himalayensis	White-tailed Nuthatch
Chroicocephalus genei	Slender-billed Gull
Emberiza sp.	Emberiza sp.
Calidris falcinellus	Broad-billed Sandpiper
Artamus fuscus	Ashy Woodswallow
Arborophila atrogularis	White-cheeked Partridge
Cyornis tickelliae	Tickell's Blue-Flycatcher
Ardenna tenuirostris	Short-tailed Shearwater
Platalea leucorodia	Eurasian Spoonbill
Hemicircus canente	Heart-spotted Woodpecker
Ardea alba/Mesophoyx intermedia	Great/Intermediate Egret
Francolinus gularis	Swamp Francolin
Spilornis klossi	Nicobar Serpent-Eagle
Monticola cinclorhynchus	Blue-capped Rock-Thrush
Centropus sp.	coucal sp.
Picus squamatus	Scaly-bellied Woodpecker
Pteruthius xanthochlorus	Green Shrike-Babbler
Hydrornis nipalensis	Blue-naped Pitta
Falco severus	Oriental Hobby
Calidris alba	Sanderling
Dicaeum agile	Thick-billed Flowerpecker
Clanga hastata	Indian Spotted Eagle
Onychoprion anaethetus	Bridled Tern
Calidris tenuirostris	Great Knot
Caprimulgus sp.	Caprimulgus sp.
Carduelis flavirostris	Twite
Picus chlorolophus	Lesser Yellownape
Eumyias thalassinus	Verditer Flycatcher
Dendrocopos nanus	Brown-capped Woodpecker
Hirundinidae sp.	swallow sp.
Psittiparus ruficeps	White-breasted Parrotbill
Anas sp. (teal sp.)	teal sp.
Thalasseus bengalensis	Lesser Crested Tern
Pelecanus crispus	Dalmatian Pelican
Aythya ferina	Common Pochard
Ducula sp.	imperial-pigeon sp.
Acridotheres ginginianus	Bank Myna
Circus aeruginosus	Eurasian Marsh-Harrier
Cacomantis merulinus/passerinus	Plaintive/Gray-bellied Cuckoo
Pomatorhinus superciliaris	Slender-billed Scimitar-Babbler
Pyrrhula nipalensis	Brown Bullfinch
Lerwa lerwa	Snow Partridge
Oenanthe oenanthe	Northern Wheatear
Iduna/Hippolais/Acrocephalus sp.	Iduna/Hippolais/Acrocephalus sp.
Dendrocopos auriceps	Brown-fronted Woodpecker
Pelecanus sp.	pelican sp.
Merops leschenaulti	Chestnut-headed Bee-eater
Phylloscopus occipitalis	Western Crowned Leaf Warbler
Tringa sp.	Tringa sp.
Alcippe ludlowi	Ludlow's Fulvetta
Oriolus traillii	Maroon Oriole
Phaenicophaeus viridirostris	Blue-faced Malkoha
Prinia atrogularis	Black-throated Prinia
Zoonavena sylvatica	White-rumped Needletail
Ficedula parva	Red-breasted Flycatcher
Ceryle rudis	Pied Kingfisher
Gallinago megala	Swinhoe's Snipe
Sitta cashmirensis	Kashmir Nuthatch
Chrysococcyx maculatus	Asian Emerald Cuckoo
Sula dactylatra	Masked Booby
Streptopelia orientalis	Oriental Turtle-Dove
Turdoides striata/affinis	Jungle/Yellow-billed Babbler
Napothera epilepidota	Eyebrowed Wren-Babbler
Stercorarius sp. (skua sp.)	skua sp.
Lonchura malacca	Tricolored Munia
Calandrella dukhunensis	Syke's Short-toed Lark
Ocyceros griseus	Malabar Gray Hornbill
Phylloscopus griseolus	Sulphur-bellied Warbler
Picumnus innominatus	Speckled Piculet
Niltava macgrigoriae	Small Niltava
Falco naumanni/tinnunculus	Lesser/Eurasian Kestrel
Spelaeornis longicaudatus	Tawny-breasted Wren-Babbler
Columba palumbus	Common Wood-Pigeon
Ianthocincla cineracea	Moustached Laughingthrush
Zoothera mollissima/salimalii	Alpine/Himalayan Thrush
Lonchura kelaarti	Black-throated Munia
Falco jugger	Laggar Falcon
Aquila rapax	Tawny Eagle
Megapodius nicobariensis	Nicobar Scrubfowl
Merops sp.	bee-eater sp.
Polyplectron germaini	Germain's Peacock-Pheasant
Stercorarius antarcticus	Brown Skua
Ichthyaetus hemprichii	Sooty Gull
Dicrurus andamanensis	Andaman Drongo
Podiceps nigricollis	Eared Grebe
Phoenicopterus roseus	Greater Flamingo
Circaetus gallicus	Short-toed Snake-Eagle
Cacomantis sonneratii	Banded Bay Cuckoo
Anser fabalis	Taiga Bean-Goose
Picus flavinucha	Greater Yellownape
Enicurus schistaceus	Slaty-backed Forktail
Sternula albifrons/saundersi	Little/Saunders's Tern
Tragopan blythii	Blyth's Tragopan
Gracula indica	Southern Hill Myna
Pycnonotus leucogenys	Himalayan Bulbul
Dinopium sp.	flameback sp.
Perdicula asiatica/argoondah	Jungle/Rock Bush-Quail
Sylvia crassirostris	Eastern Orphean Warbler
Rallina canningi	Andaman Crake
Laridae sp.	gull/tern sp.
Delichon sp.	house-martin sp.
Nisaetus kelaarti	Legge's Hawk-Eagle
Meleagris gallopavo	Wild Turkey
Gyps indicus	Indian Vulture
Aegithina tiphia	Common Iora
Turdidae sp.	thrush sp.
Phylloscopus trochiloides	Greenish Warbler
Eurystomus orientalis	Dollarbird
Lanius vittatus	Bay-backed Shrike
Dicrurus bracteatus	Spangled Drongo
Mycerobas melanozanthos	Spot-winged Grosbeak
Montifringilla adamsi	Black-winged Snowfinch
Alaudidae sp.	lark sp.
Cochoa purpurea	Purple Cochoa
Centropus sinensis	Greater Coucal
Motacilla cinerea	Gray Wagtail
Ocyceros birostris	Indian Gray Hornbill
Columba palumboides	Andaman Wood-Pigeon
Galloperdix spadicea	Red Spurfowl
Pelargopsis capensis	Stork-billed Kingfisher
Yuhina sp.	yuhina sp.
Corvus corax	Common Raven
Columba eversmanni	Pale-backed Pigeon
Metopidius indicus	Bronze-winged Jacana
Tesia olivea	Slaty-bellied Tesia
Mirafra assamica	Bengal Bushlark
Ploceus sp.	Ploceus sp.
Circus cyaneus	Northern Harrier
Nucifraga caryocatactes	Eurasian Nutcracker
Pericrocotus flammeus	Orange Minivet
Emberiza leucocephalos	Pine Bunting
Corvus corone	Carrion Crow
Calliope pectoralis	White-tailed Rubythroat
Cairina moschata	Muscovy Duck
Vanellus indicus	Red-wattled Lapwing
Apodidae sp. (large swift sp.)	large swift sp.
Caprimulgus mahrattensis	Sykes's Nightjar
Glareola pratincola	Collared Pratincole
Dicaeum erythrorhynchos	Pale-billed Flowerpecker
Prinia sylvatica	Jungle Prinia
Centropus bengalensis	Lesser Coucal
Psilopogon franklinii	Golden-throated Barbet
Hydrobatidae sp. (white-rumped)	storm-petrel sp. (white-rumped)
Riparia riparia/diluta	Bank Swallow/Pale Sand Martin
Enicurus maculatus	Spotted Forktail
Oenanthe pleschanka	Pied Wheatear
Circus sp.	harrier sp.
Eremophila alpestris	Horned Lark
Larus fuscus	Lesser Black-backed Gull
Ianthocincla ruficollis	Rufous-necked Laughingthrush
Turdus albocinctus	White-collared Blackbird
Chlidonias niger	Black Tern
Lonchura sp.	Lonchura sp.
Falco tinnunculus	Eurasian Kestrel
Anastomus oscitans	Asian Openbill
Cholornis unicolor	Brown Parrotbill
Brachypteryx hyperythra	Rusty-bellied Shortwing
Trochalopteron subunicolor	Scaly Laughingthrush
Sterna dougallii	Roseate Tern
Spilornis elgini	Andaman Serpent-Eagle
Cacomantis merulinus	Plaintive Cuckoo
Alaudala raytal	Sand Lark
Antigone antigone	Sarus Crane
Turdus atrogularis	Black-throated Thrush
Accipiter gentilis	Northern Goshawk
Bubo nipalensis	Spot-bellied Eagle-Owl
Oriolus kundoo	Indian Golden Oriole
Pycnonotus jocosus	Red-whiskered Bulbul
Larvivora brunnea	Indian Blue Robin
Motacilla alba	White Wagtail
Cyanoderma ambiguum	Buff-chested Babbler
Hydroprogne/Thalasseus sp.	large tern sp.
Falco columbarius	Merlin
Anthipes monileger	White-gorgeted Flycatcher
Cecropis daurica/striolata	Red-rumped/Striated Swallow
Buteo/eagle sp.	Buteo/eagle sp.
Cettia major	Chestnut-crowned Bush-Warbler
Turdus rubrocanus	Chestnut Thrush
Oriolus oriolus	Eurasian Golden Oriole
Iduna caligata	Booted Warbler
Ardeola bacchus	Chinese Pond-Heron
Charadrius alexandrinus	Kentish Plover
Podiceps grisegena	Red-necked Grebe
Gallus gallus	Red Junglefowl
Turdus ruficollis	Red-throated Thrush
Ptyonoprogne rupestris	Eurasian Crag-Martin
Galerida cristata	Crested Lark
Pnoepyga pusilla	Pygmy Cupwing
Urocissa flavirostris/erythroryncha	Yellow-billed/Red-billed Blue-Magpie
Otus scops	European Scops-Owl
Treron affinis	Gray-fronted Green-Pigeon
Hirundo domicola	Hill Swallow
Cyornis nicobaricus	Nicobar Jungle-Flycatcher
Clangula hyemalis	Long-tailed Duck
Acrocephalus concinens	Blunt-winged Warbler
Timaliidae sp.	babbler sp.
Harpactes wardi	Ward's Trogon
Glaucidium radiatum	Jungle Owlet
Ducula badia	Mountain Imperial-Pigeon
Lanius schach	Long-tailed Shrike
Passer domesticus	House Sparrow
Egretta/Bubulcus sp.	white egret sp.
Phyllergates cucullatus	Mountain Tailorbird
Micropternus brachyurus	Rufous Woodpecker
Anas sp.	dabbling duck sp.
Oceanites oceanicus	Wilson's Storm-Petrel
Phoenicurus fuliginosus	Plumbeous Redstart
Actitis hypoleucos/macularius	Common/Spotted Sandpiper
Tragopan melanocephalus	Western Tragopan
Mergellus albellus	Smew
Dicrurus hottentottus	Hair-crested Drongo
Chloris ambigua	Black-headed Greenfinch
Fregata andrewsi	Christmas Island Frigatebird
Tephrodornis sylvicola	Malabar Woodshrike
Dicrurus leucophaeus	Ashy Drongo
Prinia inornata	Plain Prinia
Lonchura molucca	Black-faced Munia
Certhia discolor	Sikkim Treecreeper
Macropygia unchall	Barred Cuckoo-Dove
Pomatorhinus schisticeps	White-browed Scimitar-Babbler
Sitta castanea/cinnamoventris	Indian/Chestnut-bellied Nuthatch
Dendrocopos hyperythrus	Rufous-bellied Woodpecker
Euodice malabarica	Indian Silverbill
Saxicola maurus	Siberian Stonechat
Lyncornis macrotis	Great Eared-Nightjar
Mycerobas affinis	Collared Grosbeak
Orthotomus atrogularis	Dark-necked Tailorbird
Sterna sp.	Sterna sp.
Anthus sp.	pipit sp.
Phalaropus lobatus	Red-necked Phalarope
Bucephala clangula	Common Goldeneye
Pternistis/Francolinus/Peliperdix/Scleroptila sp.	francolin sp.
Pelecanus onocrotalus	Great White Pelican
Turdus merula	Eurasian Blackbird
Gallinago stenura/megala	Pin-tailed/Swinhoe's Snipe
Botaurus stellaris	Great Bittern
Saxicola leucurus	White-tailed Stonechat
Bulweria fallax	Jouanin's Petrel
Lophotriorchis kienerii	Rufous-bellied Eagle
Remiz coronatus	White-crowned Penduline-Tit
Otus bakkamoena	Indian Scops-Owl
Caprimulgus macrurus	Large-tailed Nightjar
Turdus maximus	Tibetan Blackbird
Phoenicurus erythronotus	Rufous-backed Redstart
Luscinia svecica	Bluethroat
Ficedula hyperythra	Snowy-browed Flycatcher
Spelaeornis badeigularis	Rusty-throated Wren-Babbler
Ploceus manyar	Streaked Weaver
Phylloscopus nitidus/trochiloides	Green/Greenish Warbler
Hirundo tahitica	Pacific Swallow
Pericrocotus ethologus	Long-tailed Minivet
Porzana porzana	Spotted Crake
Microhierax melanoleucos	Pied Falconet
Garrulax monileger	Lesser Necklaced Laughingthrush
Anthus richardi	Richard's Pipit
Psittacula sp.	Psittacula sp.
Garrulax/Ianthocincla/Trochalopteron sp.	laughingthrush sp.
Phylloscopus sindianus	Mountain Chiffchaff
Spinus spinus	Eurasian Siskin
Seicercus affinis	White-spectacled Warbler
Mixornis gularis	Pin-striped Tit-Babbler
Dendrocopos atratus	Stripe-breasted Woodpecker
Caprimulgus indicus/jotaka	Jungle/Gray Nightjar
Ianthocincla ocellata	Spotted Laughingthrush
Dendrocitta vagabunda	Rufous Treepie
Glaucidium cuculoides/radiatum	Asian Barred/Jungle Owlet
Psilopogon zeylanicus	Brown-headed Barbet
Ficedula sordida	Slaty-backed Flycatcher
Gallus sonneratii	Gray Junglefowl
Anser sp. (Domestic type)	Domestic goose sp. (Domestic type)
Acrocephalus agricola	Paddyfield Warbler
Calidris minuta	Little Stint
Passer pyrrhonotus	Sind Sparrow
Pandion haliaetus	Osprey
Clamator jacobinus	Pied Cuckoo
Emberiza striolata	Striolated Bunting
Charadrius dubius	Little Ringed Plover
Erpornis zantholeuca	White-bellied Erpornis
Sylvia althaea/curruca	Hume's/Lesser Whitethroat
Serinus thibetanus	Tibetan Serin
Vanellus duvaucelii	River Lapwing
Anas querquedula	Garganey
Anthus nilghiriensis	Nilgiri Pipit
Psilopogon haemacephalus	Coppersmith Barbet
Sylvia hortensis/crassirostris	Western/Eastern Orphean Warbler
Hypsipetes leucocephalus	Black Bulbul
Pteruthius melanotis	Black-eared Shrike-Babbler
Dicaeum agile/erythrorhynchos	Thick-billed/Pale-billed Flowerpecker
Locustella thoracica	Spotted Bush-Warbler
Dicaeum chrysorrheum	Yellow-vented Flowerpecker
Luscinia phaenicuroides	White-bellied Redstart
Turnix suscitator	Barred Buttonquail
Sturnidae sp.	myna/starling sp.
Turdus dissimilis	Black-breasted Thrush
Pelecanus philippensis	Spot-billed Pelican
Trochalopteron erythrocephalum	Chestnut-crowned Laughingthrush
Abroscopus schisticeps	Black-faced Warbler
Certhia manipurensis	Hume's Treecreeper
Terpsiphone affinis	Blyth's Paradise-Flycatcher
Apus pacificus/salimalii/leuconyx/cooki	fork-tailed swift sp.
Muscicapa dauurica	Asian Brown Flycatcher
Copsychus saularis	Oriental Magpie-Robin
Actinodura nipalensis	Hoary-throated Barwing
Zoothera marginata	Dark-sided Thrush
Hieraaetus pennatus	Booted Eagle
Stachyris oglei	Snowy-throated Babbler
Sporaeginthus formosus	Green Avadavat
Orthotomus sutorius	Common Tailorbird
Esacus recurvirostris	Great Thick-knee
Psilopogon malabaricus	Malabar Barbet
Psarisomus dalhousiae	Long-tailed Broadbill
Prinia superciliaris	Hill Prinia
Aceros nipalensis	Rufous-necked Hornbill
Emberiza spodocephala	Black-faced Bunting
Halcyon pileata	Black-capped Kingfisher
Psittacula caniceps	Nicobar Parakeet
Chloris spinoides	Yellow-breasted Greenfinch
Anser erythropus	Lesser White-fronted Goose
Lalage melaschistos	Black-winged Cuckooshrike
Iole virescens	Olive Bulbul
Machlolophus xanthogenys	Black-lored Tit
Leptoptilos javanicus/dubius	Lesser/Greater Adjutant
Pycnonotus sp.	Pycnonotus sp.
Anas querquedula/crecca	Garganey/Green-winged Teal
Sitta formosa	Beautiful Nuthatch
Columba pulchricollis	Ashy Wood-Pigeon
Ardeidae sp.	heron sp.
Suthora fulvifrons	Fulvous Parrotbill
Psittiparus bakeri	Rufous-headed Parrotbill
Nectariniidae sp. (sunbird sp.)	sunbird sp.
Parus monticolus	Green-backed Tit
Saroglossa spiloptera	Spot-winged Starling
Anas platyrhynchos	Mallard
Certhia sp.	treecreeper sp.
Turdoides earlei	Striated Babbler
Pyrrhula erythrocephala	Red-headed Bullfinch
Cyanoderma chrysaeum	Golden Babbler
Horornis fortipes	Brownish-flanked Bush-Warbler
Dumetia hyperythra	Tawny-bellied Babbler
Turdoides longirostris	Slender-billed Babbler
Hydrophasianus chirurgus	Pheasant-tailed Jacana
Dicrurus sp.	drongo sp.
Machlolophus spilonotus	Yellow-cheeked Tit
Phalacrocoracidae sp.	cormorant sp.
Sylvia curruca	Lesser Whitethroat
Columba livia	Rock Pigeon
Calidris temminckii	Temminck's Stint
Cuculus canorus	Common Cuckoo
Cyornis pallipes	White-bellied Blue-Flycatcher
Ardea cinerea	Gray Heron
Gruidae sp.	crane sp.
Zapornia akool	Brown Crake
Dendrocopos canicapillus	Gray-capped Woodpecker
Mirafra cantillans	Singing Bushlark
Paradoxornis guttaticollis	Spot-breasted Parrotbill
Locustella davidi	Baikal Bush-Warbler
Horornis sp.	bush-warbler sp.
Arborophila torqueola	Hill Partridge
Anous stolidus	Brown Noddy
Synoicus/Coturnix sp.	old world quail sp.
Regulus regulus	Goldcrest
Cyornis poliogenys	Pale-chinned Blue-Flycatcher
Pericrocotus roseus	Rosy Minivet
Enicurus immaculatus	Black-backed Forktail
Pericrocotus brevirostris	Short-billed Minivet
Brachypteryx major	Nilgiri Shortwing
Chalcophaps indica	Asian Emerald Dove
Phoenicurus schisticeps	White-throated Redstart
Ictinaetus malaiensis	Black Eagle
Strix aluco	Tawny Owl
Treron phoenicopterus	Yellow-footed Pigeon
Porphyrio poliocephalus	Gray-headed Swamphen
Psilopogon viridis	White-cheeked Barbet
Motacilla sp.	wagtail sp.
Cephalopyrus flammiceps	Fire-capped Tit
Ficedula hodgsoni	Pygmy Blue-Flycatcher
Nucifraga multipunctata	Kashmir Nutcracker
Alaemon alaudipes	Greater Hoopoe-Lark
Anthus richardi/rufulus	Richard's/Paddyfield Pipit
Haliaeetus leucoryphus	Pallas's Fish-Eagle
Anthus rufulus	Paddyfield Pipit
Irena puella	Asian Fairy-bluebird
Ciconiidae sp.	stork sp.
Netta rufina	Red-crested Pochard
Phoenicurus sp.	redstart sp.
Tickellia hodgsoni	Broad-billed Warbler
Cettia cetti	Cetti's Warbler
Turnix sylvaticus	Small Buttonquail
Phaenicophaeus tristis	Green-billed Malkoha
Rallina [undescribed form]	Great Nicobar Crake (undescribed form)
Emberiza pusilla	Little Bunting
Phoenicurus hodgsoni	Hodgson's Redstart
Ninox scutulata	Brown Boobook
Trochalopteron fairbanki	Kerala Laughingthrush
Pteruthius rufiventer	Black-headed Shrike-Babbler
Aythya fuligula	Tufted Duck
Dinopium javanense	Common Flameback
Pluvialis sp.	Black-bellied Plover/golden-plover sp.
Agropsar sturninus	Daurian Starling
Apus affinis	Little Swift
Gallinago gallinago	Common Snipe
Leptocoma brasiliana	Van Hasselt's Sunbird
Otus alius	Nicobar Scops-Owl
Ixobrychus cinnamomeus	Cinnamon Bittern
Coturnix coturnix	Common Quail
Anthracoceros coronatus	Malabar Pied-Hornbill
Motacilla flava	Western Yellow Wagtail
Sturnia erythropygia	White-headed Starling
Pterocles orientalis	Black-bellied Sandgrouse
Ixos mcclellandii	Mountain Bulbul
Pnoepyga albiventer	Scaly-breasted Cupwing
Sitta sp.	nuthatch sp.
Larus argentatus	Herring Gull
Heterophasia gracilis	Gray Sibia
Spelaeornis chocolatinus	Long-tailed Wren-Babbler
Pterocles senegallus	Spotted Sandgrouse
Turdus eunomus	Dusky Thrush
Numenius arquata	Eurasian Curlew
Artamus leucorynchus	White-breasted Woodswallow
Dicaeum cruentatum	Scarlet-backed Flowerpecker
Stercorarius pomarinus	Pomarine Jaeger
Podiceps cristatus	Great Crested Grebe
Prinia rufescens	Rufescent Prinia
Pycnonotus atriceps	Black-headed Bulbul
Carpodacus edwardsii	Dark-rumped Rosefinch
Sitta castanea	Indian Nuthatch
Locustella luteoventris	Brown Bush-Warbler
Chrysomma sinense	Yellow-eyed Babbler
Bucanetes githagineus	Trumpeter Finch
Tarsiger cyanurus	Red-flanked Bluetail
Tringa erythropus	Spotted Redshank
Cuculus canorus/optatus	Common/Oriental Cuckoo
Monticola solitarius	Blue Rock-Thrush
Batrachostomus hodgsoni	Hodgson's Frogmouth
Sasia ochracea	White-browed Piculet
Corvus monedula	Eurasian Jackdaw
Puffinus persicus	Persian Shearwater
Anthus trivialis/hodgsoni	Tree/Olive-backed Pipit
Falco sp. (large falcon sp.)	large falcon sp.
Saxicola insignis	White-throated Bushchat
Locustella mandelli	Russet Bush-Warbler
Eudynamys scolopaceus	Asian Koel
Heterophasia pulchella	Beautiful Sibia
Anas zonorhyncha	Eastern Spot-billed Duck
Oenanthe xanthoprymna	Red-tailed Wheatear
Mycerobas carnipes	White-winged Grosbeak
